"","RP_ENTITY_ID","ENTITY_NAME","cnt"
"135","CA806F","Clariant AG",9656
"136","751A74","Royal Caribbean Cruises Ltd.",9643
"137","867FD6","Japan Tobacco Inc.",9636
"138","4DC907","China Resources Beer (Holdings) Co. Ltd.",9630
"139","0A0BEE","Kunlun Energy Co. Ltd.",9628
"140","324285","Affiliated Computer Services Inc.",9620
"141","C70520","CSL Ltd.",9587
"142","0EBA3B","Baoshan Iron & Steel Co. Ltd.",9575
"143","4EB77D","Reckitt Benckiser Group PLC",9563
"144","58E293","Lexmark International Inc.",9563
"145","C4073B","Eaton Corp. PLC",9554
"146","329384","Carter Holt Harvey Ltd.",9517
"147","F748C7","Williams-Sonoma Inc.",9511
"148","4B192A","Fubon Financial Holding Co. Ltd.",9493
"149","41588B","AK Steel Holding Corp.",9485
"150","41AC62","Cypress Semiconductor Corp.",9474
"151","FF0310","Mazda Motor Corp.",9473
"152","9355E7","Natixis S.A.",9469
"153","900356","Simon Property Group Inc.",9457
"154","BCC55F","Vonage Holdings Corp.",9452
"155","3660F1","Forest Laboratories Inc.",9443
"156","DBEE37","Telewest Communications PLC",9440
"157","5CBE99","Kia Motors Corp.",9433
"158","719477","Clorox Co.",9430
"159","78072F","Sumitomo Trust & Banking Co. Ltd.",9430
"160","BB0814","SAFECO Corp.",9417
"161","E46161","HUTCHISON TELECOMMUNICATIONS INTERNATIONAL LTD.",9401
"162","39DF69","Tiscali S.p.A.",9398
"163","789A7D","Ameren Corp.",9395
"164","244B2B","Krung Thai Bank PCL",9395
"165","A01664","Take-Two Interactive Software Inc.",9394
"166","3C3427","Mitsubishi Estate Co. Ltd.",9389
"167","7F523C","Power Assets Holdings Ltd.",9388
"168","E5F309","KeySpan Corp.",9371
"169","13387A","Corporate Express N.V.",9352
"170","6AEA3A","Hyundai Securities Co. Ltd.",9347
"171","E30B75","RHB Bank Bhd",9346
"172","C55A68","Cosmo Securities Co. Ltd.",9339
"173","F233DF","VERSATEL AG",9331
"174","63E639","Brilliance China Automotive Holdings Ltd.",9317
"175","C659EB","C.H. Robinson Worldwide Inc.",9310
"176","305A1A","Gemplus International S.A.",9305
"177","7D5FD6","PulteGroup Inc.",9295
"178","801515","Burberry Group PLC",9295
"179","FA96B7","Degussa AG",9288
"180","E4DCB7","Ensco PLC",9274
"181","7825A7","Kasikornbank PCL",9269
"182","EA2D75","OMRON Corp.",9268
"183","D1921E","ACC Ltd.",9261
"184","92D230","Revlon Inc.",9238
"185","40F24C","TDC A/S",9231
"186","ED29C6","Hero Honda Motors Ltd.",9230
"187","0B1CC6","Sotheby's",9221
"188","AFF7B4","Unum Group",9221
"189","DA2337","Agere Systems Inc.",9215
"190","55DE4F","Hindustan Unilever Ltd.",9213
"191","14BB21","YRC Worldwide Inc.",9207
"192","35BE65","Genesys S.A.",9165
"193","455B08","Burlington Northern Santa Fe Corp.",9164
"194","D1B2E3","Chubb Corp.",9163
"195","81EAD4","U.S. Cellular Corp.",9162
"196","3573DB","China Airlines Ltd.",9134
